Codename,Category,URL,Game,UseMaster,Release,Version
More-Style-for-Mages-MSFM-,ITEMS,"https://github.com/Endarire/More-Style-for-Mages-MSFM-",BG1-BG2-IWD,,2023-07-12,"1.6-Prerelease-Take-2"
bg2-autumns-twilight-mod,QUEST/NPC,"https://github.com/evancauteren/bg2-autumns-twilight-mod",BG2,,2026-01-22,"v1.4.0"
aTweaks,TWEAKS,"https://github.com/FredrikLindgren/aTweaks",BG1-BG2-IWD,,2018-05-19,"07d7bad"
randomiser,TWEAKS,"https://github.com/FredrikLindgren/randomiser",BG1-BG2,,2018-09-23,"v7"
Ajantis_BG1_Expansion,NPC-EXPANSION,"https://github.com/Gibberlings3/Ajantis_BG1_Expansion",BG1,,2026-01-07,"v22"
Angelo,NPC,"https://github.com/Gibberlings3/Angelo",BG2,,2021-09-28,"v9"
Another_Fine_Hell,QUEST,"https://github.com/Gibberlings3/Another_Fine_Hell",BG1,,2023-09-19,"vAlpha_230919"
BG_Quests_And_Encounters,QUEST,"https://github.com/Gibberlings3/BG_Quests_And_Encounters",BG1,,2026-01-17,"v31"
BG1_Romantic_Encounters,QUEST,"https://github.com/Gibberlings3/BG1_Romantic_Encounters",BG1,,2025-07-13,"v15"
BG1NPC,NPC-EXPANSION,"https://github.com/Gibberlings3/BG1NPC",BG1,,2023-08-02,"v32"
BS_Baldurans_Seatower,QUEST,"https://github.com/Gibberlings3/BS_Baldurans_Seatower",BG1,,2023-12-08,"vEAOB.9"
Corthala_Romantique,NPC-EXPANSION,"https://github.com/Gibberlings3/Corthala_Romantique",BG2,,2022-04-02,"v5"
CowledMenace,QUEST,"https://github.com/Gibberlings3/CowledMenace",BG2,,2024-09-12,"1.0.3"
Crossmod_Banter_Pack_for_Baldurs_Gate_II,NPC-RELATED,"https://github.com/Gibberlings3/Crossmod_Banter_Pack_for_Baldurs_Gate_II",BG2,,2025-08-19,"v30"
EET,BASE,"https://github.com/Gibberlings3/EET",BG1-BG2,,2025-04-07,"v14.1"
EndlessBG1,QUEST,"https://github.com/Gibberlings3/EndlessBG1",BG1,,2026-01-27,"v20.2"
Infinity_Collection_Portrait_Pack,GFX,"https://github.com/Gibberlings3/Infinity_Collection_Portrait_Pack",BG1-BG2-IWD,,2022-03-07,"v2"
iwdification,TWEAKS/ITEMS,"https://github.com/Gibberlings3/iwdification",BG1-BG2,,2025-07-12,"v11"
Jasteys_SoD_Tweakpack,QUEST,"https://github.com/Gibberlings3/Jasteys_SoD_Tweakpack",BG1,,2025-02-01,"v13"
Keldorn_Romance,NPC-EXPANSION,"https://github.com/Gibberlings3/Keldorn_Romance",BG2,,2023-01-21,"v8.1"
Lore_From_Learning,TWEAKS,"https://github.com/Gibberlings3/Lore_From_Learning",BG1-BG2,,2026-03-16,"v10"
Restored-Rhynn-Lanthorn,QUEST,"https://github.com/Gibberlings3/Restored-Rhynn-Lanthorn",BG2,,2021-09-16,"v-beta-2"
Road_To_Discovery_for_SoD,QUEST,"https://github.com/Gibberlings3/Road_To_Discovery_for_SoD",BG1,,2026-01-19,"v6"
SoD-to-BG2EE-Item-Upgrade,ITEMS,"https://github.com/Gibberlings3/SoD-to-BG2EE-Item-Upgrade",BG2,,2023-05-06,"v2.0.6"
SwordCoastStratagems,TWEAKS,"https://github.com/Gibberlings3/SwordCoastStratagems",BG1-BG2-IWD,,2024-11-21,"v35.21"
The_Boareskyr_Bridge_Scene,QUEST,"https://github.com/Gibberlings3/The_Boareskyr_Bridge_Scene",BG1,,2025-02-02,"v8"
Tweaks-Anthology,TWEAKS,"https://github.com/Gibberlings3/Tweaks-Anthology",BG1-BG2-IWD-PST,,2025-08-22,"v18"
Yoshimos_Remorse,NPC-EXPANSION,"https://github.com/Gibberlings3/Yoshimos_Remorse",BG2,,2026-03-17,"v3.3"
Adalons_Blood,QUEST,"https://github.com/Gitjas/Adalons_Blood",BG2,,2025-02-05,"v17.2"
Ascalons_Questpack,QUEST,"https://github.com/Gitjas/Ascalons_Questpack",BG1,,2025-12-17,"v6.4"
hiddenadventure,QUEST,"https://github.com/Gitjas/hiddenadventure",BG2,,2025-01-29,"vBeta_9"
JA-AdventurePack,QUEST,"https://github.com/Gitjas/JA-AdventurePack",BG1,,2025-07-13,"v1.0"
Baldurs-Gate-NPC-Voice-Pack-for-EE-2.6,SOUND,"https://github.com/GraionDilach/Baldurs-Gate-NPC-Voice-Pack-for-EE-2.6",BG1-BG2-IWD,,2023-08-27,"version-0.3.1"
Baldurs-Gate-Voice-Pack-for-EE-2.6,SOUND,"https://github.com/GraionDilach/Baldurs-Gate-Voice-Pack-for-EE-2.6",BG1-BG2-IWD,,2023-05-21,"version-1.1.0"
ExtraExpandedEnhancedEncounters,QUEST,"https://github.com/GraionDilach/ExtraExpandedEnhancedEncounters",BG1,,2024-03-13,"4.3"
Icewind-Dale-II-Voice-Pack-For-EE-2.6,SOUND,"https://github.com/GraionDilach/Icewind-Dale-II-Voice-Pack-For-EE-2.6",BG1-BG2-IWD,,2023-08-27,"version-1.2.0"
Icewind-Dale-Voice-Pack-For-EE-2.6,SOUND,"https://github.com/GraionDilach/Icewind-Dale-Voice-Pack-For-EE-2.6",BG1-BG2-IWD,,2023-08-27,"version-1.2.0"
Neverwinter-Nights-Voice-Pack-for-EE-2.6,SOUND,"https://github.com/GraionDilach/Neverwinter-Nights-Voice-Pack-for-EE-2.6",BG1-BG2-IWD,,2024-12-20,"version-0.5.0"
RandomGraionTweaks,TWEAKS,"https://github.com/GraionDilach/RandomGraionTweaks",BG1-BG2-IWD,,2024-12-20,"version-1.17"
bg_enemy_randomizer,TWEAKS,"https://github.com/GuardianAnubite/bg_enemy_randomizer",BG1-BG2,,2024-08-26,"v1.1.3"
Ascension,QUEST,"https://github.com/InfinityMods/Ascension",BG2,,2025-05-18,"2.1.0"
EET_Tweaks,TWEAKS,"https://github.com/K4thos/EET_Tweaks",BG1-BG2,,2019-08-01,"v1.12"
AutoLoot,BASE,"https://github.com/LCA-EET/AutoLoot",BG1-BG2-IWD,,2025-12-31,"v1.2.6"
themed_tweaks,QUEST,"https://github.com/lzenner/themed_tweaks",BG1-BG2,,2026-01-19,"v0.5"
rogue_rebalancing,KITS,"https://github.com/mleduque/rogue_rebalancing",BG1-BG2-IWD,,2021-06-18,"29f0383"
Epic-Thieving,KITS,"https://github.com/OlvynChuru/Epic-Thieving",BG1-BG2-IWD,,2023-06-04,"149ac53"
Olvyn-Tweaks,TWEAKS,"https://github.com/OlvynChuru/Olvyn-Tweaks",BG1-BG2-IWD,,2022-08-19,"ebe1f59"
Shar-Teel-SoD,NPC,"https://github.com/panshaigan/Shar-Teel-SoD",BG1,,2026-03-18,"v1.4"
Assassinations,QUEST,"https://github.com/Pocket-Plane-Group/Assassinations",BG2,,2023-08-30,"v19"
Banter_Pack,NPC-RELATED,"https://github.com/Pocket-Plane-Group/Banter_Pack",BG2,,2021-09-17,"v18"
bg1ub,QUEST,"https://github.com/Pocket-Plane-Group/bg1ub",BG1,,2025-08-25,"v17.1"
Item_Upgrade,ITEMS,"https://github.com/Pocket-Plane-Group/Item_Upgrade",BG2,,2025-02-17,"v55"
Under-Respresented_Items,ITEMS,"https://github.com/Pocket-Plane-Group/Under-Respresented_Items",BG2,,2025-06-10,"v14"
UnfinishedBusiness,QUEST,"https://github.com/Pocket-Plane-Group/UnfinishedBusiness",BG2,,2021-01-03,"v28"
Xan_BG1_Friendship,NPC-EXPANSION,"https://github.com/Pocket-Plane-Group/Xan_BG1_Friendship",BG1,,2020-08-03,"v11"
Xan_for_BGII,NPC,"https://github.com/Pocket-Plane-Group/Xan_for_BGII",BG2,,2020-08-04,"v19"
InfinityUI,GFX,"https://github.com/Renegade0/InfinityUI",BG1-BG2-IWD,,2026-03-08,"v1.21"
RemasteredSpellIcons,GFX,"https://github.com/Renegade0/RemasteredSpellIcons",BG1-BG2-IWD,,2024-02-21,"v1.2"
